Element Name,Element Description,Source Name,Source Table Name,Data Type,Length,List of Values,Security Classification,Archived
metadata.recordGeneratedAt,"Closest time to which the record was created, either signed or received by the generatedBy source in UTC format. This information is taken from the communication header.",N/A,N/A,calendar_date,,,Public,No
metadata.recordGeneratedBy,"Source of the record, whether [OBU, RSU, TMC].",N/A,N/A,text,,"OBU, RSU, TMC",Public,No
metadata.logFileName,Name of the original file that deposited the message.,N/A,N/A,text,,,Public,No
metadata.schemaVersion,Version of the metadata schema. ,N/A,N/A,number,,,Public,No
metadata.bsmSource,"Source of the BSM. Host vehicle = EV, Remote vehicle = RV.",N/A,N/A,text,,"EV, RV",Public,No
metadata.RSUID,Identifier of road side unit.,N/A,N/A,text,,,Public,No
metadata.externalID,External ID.,N/A,N/A,text,,,Public,No
metadata.kind,Metadata kind.,N/A,N/A,text,,,Public,No
metadata.psid,Provider Service Identifier. A number that identifies a service provided by an application. PSID is defined in IEEE Std 1609.12.,N/A,N/A,text,,,Public,No
metadata.dataType,The data type.,N/A,N/A,text,,,Public,No
payload.data.coreData.msgCnt,"Message count data - used to provide a sequence number within a stream of messages with the same DSRCmsgID and from the same sender. A sender may initialize this element to any value in the range 0-127 when sending the first message with a given DSRCmsgID, or if the sender has changed identity (e.g. by changing its TemporaryID) since sending the most recent message with that DSRCmsgID. Depending on the application the sequence number may change with every message or may remain fixed during a stream of messages when the content within each message has not changed from the prior message sent. For this element, the value after 127 is zero. The receipt of a non-sequential MsgCount value (from the same sending device and message type) implies that one or more messages from that sending device may have been lost, unless MsgCount has been re-initialized due to an identity change. This field is based on the J2735 Standard",N/A,N/A,text,,,Public,No
payload.data.coreData.id,"A 4 octet random device identifier, called the TemporaryID. When used for a mobile OBU device, this value will change periodically to ensure the overall anonymity of the vehicle, unlike a typical wireless or wired 802 device ID. Because this value is used as a means to identify the local vehicles that are interacting during an encounter, it is used in the message set. Other devices, such as infrastructure (RSUs), may have a fixed value for the temporary ID value. See also DE_StationID which is used in other deployment regions. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.secMark,Second Mark of the BSM - representing the milliseconds within a minute in units of milliseconds. The value of 65535 shall represent an unavailable value in the range of the minute. The values from 61000 to 65534 are reserved. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.coreData.lat,"Geographic latitude of the vehicle, expressed in units of 1/10th microdegrees and with reference to the horizontal datum then in use. The value 900000001 shall be used when unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.long,"Geographic longitude of the vehicle, expressed in units of 1/10th microdegrees and with reference to the horizontal datum then in use. The value 1800000001 shall be used when unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.elev,"The geographic position above or below the reference ellipsoid (typically WGS-84), in 10cm steps. The number represents an asymmetric range of positive and negative values. Any elevation higher than +6143.9 meters is represented as +61439. Any elevation lower than -409.5 meters is represented as -4095. If the sending device does not know its elevation, it shall encode the Elevation data element with -4096. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
