Element Name,Element Description,Source Name,Source Table Name,Data Type,Length,List of Values,Security Classification,Archived
metadata.recordGeneratedAt,"Closest time to which the record was created, either signed or received by the generatedBy source in UTC format. This information is taken from the communication header.",N/A,N/A,datetime,,,Public,No
metadata.recordGeneratedBy,"Source of the record, whether [OBU, RSU, TMC].",N/A,N/A,text,,"OBU, RSU, TMC",Public,No
metadata.logFileName,Name of the original file that deposited the message.,N/A,N/A,text,,,Public,No
metadata.schemaVersion,Version of the metadata schema.,N/A,N/A,number,,,Public,No
metadata.RSUID,Identifier of road side unit.,N/A,N/A,text,,,Public,No
metadata.kind,Metadata kind.,N/A,N/A,text,,,Public,No
metadata.psid,Provider Service Identifier. A number that identifies a service provided by an application. PSID is defined in IEEE Std 1609.12.,N/A,N/A,text,,,Public,No
metadata.dataType,The data type.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.timeStamp,The number of elapsed minutes of the current year in the time system being used (typically UTC time). It is typically used to provide a longer range time stamp indicating when a message was created. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.packetID,Packet ID - a relatively unique value which can be used to connect to (link to) other supporting messages in other formats. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.urlB,"A valid internet style URI / URL in the form of a text string which will form the base of a compound string which, when combined with the URL-Short data element, will link to the designated resource. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.msgCnt,"Message count, to be increased whenever the content of any TravelerDataFrame changes. The receipt of a non-sequential MsgCount value (from the same sending device and message type) implies that one or more messages from that sending device may have been lost, unless MsgCount has been re-initialized due to an identity change. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.regional,Regional extension of Traveler Information. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.closedPath,"Boolean field indicating if the geographical path in the TIM is closed or not - when true, last point closes to first. Assume that omitting element indicates closedPath == false. This field is based on the J2735 Standard.",N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.anchor.elevation,"Elevation at start of speed recommendation, in units of 10cm above or below the reference ellipsoid. Providing a range of -409.5 to +6143.9 meters. The value -4096 shall be used when Unknown is to be sent. This is redundant with road sign position. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.anchor.lat,"Geographic latitude at start of speed recommendation, in units of 1/10th microdegrees. The value 900000001 shall be used when unavailable. This is redundant with road sign position. This field is based on the J2735 Standard. ",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.anchor.long,"Geographic longitude at start of speed recommendation, in units of 1/10th microdegrees. The value 1800000001 shall be used when unavailable. This is redundant with road sign position. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.anchor.regional,Regional extension of geographical path described. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.name,Human readable and recognizable name for the spatial areas it describes. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.laneWidth,Width of a lane in cm. Maximum value for a lane is 327.67 meters in width. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.directionality,"Direction of use (forward, reverse, both, unavailable) - the allowed direction of travel on a street lane or path described by shape points. The presumed (default) direction is outward, away from the initial set of points. However, this data element can be used indicate a reverse direction or both directions as well as the original outward direction. This field is based on the J2735 Standard.",N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.description.path.offset.xy.nodes.NodeXY,Description of a system of paths. This field is a stringified array of json objects and is based on the J2735 Standard.,N/A,N/A,list(object),,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.description.path.scale,"Scaling factor of geographical path described. The zoom value of zero implies a 1:1 scale (no zoom), while a larger value implies an increase by a power of X = 2^z, where z is the zoom scale. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.direction,"Heading slice - field of view over which the TIM geographical path applies. In the format of bit string. Each bit 22.5 degree starting from North and moving Eastward (clockwise) as one bit. A value of noHeading means no bits set, while a value of allHeadings means all bits would be set. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.id.id,"Road Segment ID - a unique mapping to the road segment in question within the Road Regular ID region of use during its period of assignment and use. Note that unlike intersection ID  values, this value can be reused by the region. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.regions.GeographicalPath.id.region,Road regulator ID - a globally unique regional assignment value typically assigned to a regional DOT authority. The value zero shall be used for testing needs. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.sspMsgRights1,SSP Index for message types. The ability to send TIM Part III message type information is controlled by this SSPIndex which links back to the sender's CERT. This is set to 0 in this dataset. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.sspMsgRights2,SSP Index for message content. The ability to send TIM Part III content information is controlled by this SSPIndex which links back to the sender's CERT. This is set to 0 in this dataset. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.startYear,Start Year of message. The year according to the Gregorian calendar date system. The value of zero shall represent an unknown value. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.viewAngle,"Vehicle direction of travel while facing active side of sign, in the format of bit string. Each bit 22.5 degree starting from North and moving Eastward (clockwise) as one bit. A value of noHeading means no bits set, while a value of allHeadings means all bits would be set. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.mutcdCode,"Tag for MUTCD code (none, regulatory, warning, maintenance, motoristService, guide, rec) or ""generic sign"". MUTCD has no appropriate code for an ERDW speed advisory or wrong-way driver warning. This field is based on the J2735 Standard.",N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.position,"Geographic point at start of speed recommendation, composed of (travelerdataframe_msgId_long, travelerdataframe_msgId_lat) in degrees. This field is created for use within Socrata and is not present in the data Sandbox.",N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.position.elevation,"Elevation location at start of speed recommendation, in units of 10cm above or below the reference ellipsoid. Providing a range of -409.5 to +6143.9 meters. The value -4096 shall be used when Unknown is to be sent. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.position.lat,"Geographic latitude at start of speed recommendation, in units of 1/10th microdegrees. The value 900000001 shall be used when unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.position.long,"Geographic longitude at start of speed recommendation, in units of 1/10th microdegrees. The value 1800000001 shall be used when unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.furtherInfoId,Further Info ID - a link number to other messages (described here and in other message set standards) which relate to the same event. Use zero when unknown or not present. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.crc,Octet string used to provide a check sum.  This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.msgId.roadSignID.position.regional,Regional extension of Traveler Information. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.priority,"The relative importance of the sign, on a scale from zero (least important) to seven (most important). This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.content.advisory.SEQUENCE,"Advisory ITIS warnings - ITIS codes interspersed with free text. The complete set of ITIS codes can be found in Volume Two of the J2540 Standard. This is a set of nearly 1,500 items which are used to encode common events and list items in ITS. This field is a stringified json object and is based on the J2735 Standard.",N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.content.exitService.SEQUENCE,Roadside available services - contains ITIS codes interspersed with free text. This field is a stringified json object and is based on the J2735 Standard.,N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.content.genericSign.SEQUENCE,Generic MUTCD signs and directions - contains ITIS codes interspersed with free text. This field is a stringified json object and is based on the J2735 Standard.,N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.content.speedLimit.SEQUENCE,Speed limits and cautions - contains ITIS codes interspersed with free text. This field is a stringified json object and is based on the J2735 Standard.,N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.content.workZone.SEQUENCE,Work zone signs and directions - contains ITIS codes interspersed with free text. This field is a stringified json object and is based on the J2735 Standard.,N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.sspTimRights,SSP Index for TIM. The ability to send TIM is controlled by this SSPIndex which links back to the sender's CERT. This is set to 0 in this dataset. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.sspLocationRights,SSP Index for locations. The ability to send TIM Part II regions information is controlled by this SSPIndex which links back to the sender's CERT. This is set to 0 in this dataset. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.frameType,The type of message to follow in the rest of the message frame structure (advisory or road sign). This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.startTime,Start time of message - the number of elapsed minutes of the current year in the time system being used (typically UTC time). This field is based on the J2735 Standard.,N/A,N/A,object,,,Public,No
payload.data.TravelerInformation.dataFrames.TravelerDataFrame.duratonTime,"Duration of validity of this speed recommendation or wrong-way driver warning, in units of whole minutes, that a object persists for. A value of 32000 means that the object persists forever. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
